Timestamp,Open,High,Low,Close,Volume,Funding Rate,Position,Trading PnL,Funding PnL,Total PnL,Equity
2025-07-22T09:03:05.498513+00:00,43000,43025,42925,42950,1000,-0.0001,0.0,0,0,0,10000
2025-07-22T10:03:05.498513+00:00,42999.91670832341,43024.91670832341,42974.91670832341,42999.91670832341,1010,-0.00005,0.0,0,0,0,10000
2025-07-22T11:03:05.498513+00:00,43099.251373720945,43174.251373720945,43074.251373720945,43149.251373720945,1020,0,0.0,0,0,0,10000
2025-07-22T12:03:05.498513+00:00,43297.011477051616,43322.011477051616,43222.011477051616,43247.011477051616,1030,0.00005,0.0,0,0,0,10000
2025-07-22T13:03:05.498513+00:00,43441.72064820594,43466.72064820594,43416.72064820594,43441.72064820594,1040,0.0001,0.0,0,0,0,10000
2025-07-22T14:03:05.498513+00:00,43681.433417508044,43756.433417508044,43656.433417508044,43731.433417508044,1050,-0.0001,0.0,0,0,0,10000
2025-07-22T15:03:05.498513+00:00,44013.754654205564,44038.754654205564,43938.754654205564,43963.754654205564,1060,-0.00005,0.0,0,0,0,10000
2025-07-22T16:03:05.498513+00:00,44285.86349782441,44310.86349782441,44260.86349782441,44285.86349782441,1070,0,0.0,0,0,0,10000
2025-07-22T17:03:05.498513+00:00,44644.54154327417,44719.54154327417,44619.54154327417,44694.54154327417,1080,0.00005,0.0,0,0,0,10000
2025-07-22T18:03:05.498513+00:00,45086.20499808792,45111.20499808792,45011.20499808792,45036.20499808792,1090,0.0001,0.0,0,0,0,10000
2025-07-22T19:03:05.498513+00:00,45456.94049049186,45481.94049049186,45431.94049049186,45456.94049049186,1100,-0.0001,0.0,0,0,0,10000
2025-07-22T20:03:05.498513+00:00,45902.54417052258,45977.54417052258,45877.54417052258,45952.54417052258,1110,-0.00005,0.0,0,0,0,10000
2025-07-22T21:03:05.498513+00:00,46418.5637135062,46443.5637135062,46343.5637135062,46368.5637135062,1120,0,0.0,0,0,0,10000
2025-07-22T22:03:05.498513+00:00,46850.342806214794,46875.342806214794,46825.342806214794,46850.342806214794,1130,0.00005,0.0,0,0,0,10000
2025-07-22T23:03:05.498513+00:00,47343.06767120902,47418.06767120902,47318.06767120902,47393.06767120902,1140,0.0001,0.0,0,0,0,10000
2025-07-23T00:03:05.498513+00:00,47891.81516451105,47916.81516451105,47816.81516451105,47841.81516451105,1150,-0.0001,0.0,0,0,0,10000
2025-07-23T01:03:05.498513+00:00,48341.6019660318,48366.6019660318,48316.6019660318,48341.6019660318,1160,-0.00005,0.0,0,0,0,10000
2025-07-23T02:03:05.498513+00:00,48837.43437125803,48912.43437125803,48812.43437125803,48887.43437125803,1170,0,0.0,0,0,0,10000
2025-07-23T03:03:05.498513+00:00,49374.35818669713,49399.35818669713,49299.35818669713,49324.35818669713,1180,0.00005,0.0,0,0,0,10000
2025-07-23T04:03:05.498513+00:00,49797.508230540836,49822.508230540836,49772.508230540836,49797.508230540836,1190,0.0001,0.0,0,0,0,10000
2025-07-23T05:03:05.498513+00:00,50252.156943953676,50327.156943953676,50227.156943953676,50302.156943953676,1200,-0.0001,0.0,0,0,0,10000
2025-07-23T06:03:05.498513+00:00,50733.761627278116,50758.761627278116,50658.761627278116,50683.761627278116,1210,-0.00005,0.0,0,0,0,10000
2025-07-23T07:03:05.498513+00:00,51088.00982918791,51113.00982918791,51063.00982918791,51088.00982918791,1220,0,0.0,0,0,0,10000
2025-07-23T08:03:05.498513+00:00,51460.86243527627,51535.86243527627,51435.86243527627,51510.86243527627,1230,0.00005,0.0,0,0,0,10000
